start,end,numeral,chromatic root,diatonic root,key,absolute root
103.50,104.00,ii,2,2,8,10
104.00,104.50,i,0,1,8,8
104.50,105.00,ii,2,2,8,10
105.00,105.50,i,0,1,8,8
105.50,106.00,ii,2,2,8,10
106.00,106.50,i,0,1,8,8
106.50,107.00,ii,2,2,8,10
107.00,107.50,i,0,1,8,8
107.50,108.00,ii,2,2,8,10
108.00,108.50,i,0,1,8,8
108.50,109.00,ii,2,2,8,10
109.00,109.50,i,0,1,8,8
109.50,110.00,ii,2,2,8,10
110.00,110.50,i,0,1,8,8
110.50,111.00,ii,2,2,8,10
111.00,111.50,i,0,1,8,8
111.50,112.00,ii,2,2,8,10
112.00,112.50,i,0,1,8,8
112.50,113.00,ii,2,2,8,10
113.00,113.50,i,0,1,8,8
113.50,114.00,ii,2,2,8,10
114.00,114.50,i,0,1,8,8
114.50,115.00,ii,2,2,8,10
115.00,115.50,i,0,1,8,8
115.50,116.00,ii,2,2,8,10
116.00,116.50,i,0,1,8,8
116.50,117.00,ii,2,2,8,10
117.00,117.50,i,0,1,8,8
117.50,118.00,ii,2,2,8,10
118.00,118.50,i,0,1,8,8
118.50,119.00,ii,2,2,8,10
119.00,119.50,i,0,1,8,8
119.50,120.00,ii,2,2,8,10
120.00,120.50,i,0,1,8,8
120.50,121.00,ii,2,2,8,10
121.00,121.50,i,0,1,8,8
121.50,122.00,ii,2,2,8,10
122.00,122.50,i,0,1,8,8
122.50,123.00,ii,2,2,8,10
123.00,123.50,i,0,1,8,8
123.50,124.00,ii,2,2,8,10
124.00,124.50,i,0,1,8,8
124.50,125.00,ii,2,2,8,10
125.00,125.50,i,0,1,8,8
125.50,126.00,ii,2,2,8,10
126.00,126.50,i,0,1,8,8
126.50,127.00,ii,2,2,8,10
127.00,127.50,i,0,1,8,8
127.50,128.00,ii,2,2,8,10
128.00,128.50,i,0,1,8,8
128.50,129.00,ii,2,2,8,10
129.00,129.50,i,0,1,8,8
129.50,130.00,ii,2,2,8,10
130.00,130.50,i,0,1,8,8
130.50,131.00,ii,2,2,8,10
131.00,131.50,i,0,1,8,8
131.50,132.00,ii,2,2,8,10
132.00,132.50,i,0,1,8,8
132.50,133.00,ii,2,2,8,10
133.00,133.50,i,0,1,8,8
133.50,134.00,ii,2,2,8,10
134.00,134.50,i,0,1,8,8
134.50,135.00,ii,2,2,8,10
135.00,135.50,i,0,1,8,8
135.50,136.00,ii,2,2,8,10
136.00,136.50,i,0,1,8,8
136.50,137.00,ii,2,2,8,10
137.00,137.50,i,0,1,8,8
137.50,138.00,ii,2,2,8,10
138.00,138.50,i,0,1,8,8
138.50,139.00,ii,2,2,8,10
139.00,139.50,i,0,1,8,8
139.50,140.00,ii,2,2,8,10
140.00,140.50,i,0,1,8,8
140.50,141.00,ii,2,2,8,10
141.00,141.50,i,0,1,8,8
141.50,142.00,ii,2,2,8,10
142.00,142.50,i,0,1,8,8
142.50,143.00,ii,2,2,8,10
143.00,143.50,i,0,1,8,8
143.50,144.00,ii,2,2,8,10
144.00,144.50,i,0,1,8,8
144.50,145.00,ii,2,2,8,10
145.00,145.50,i,0,1,8,8
145.50,146.00,ii,2,2,8,10
146.00,146.50,i,0,1,8,8
146.50,147.00,ii,2,2,8,10
147.00,147.50,i,0,1,8,8
147.50,148.00,ii,2,2,8,10
148.00,148.50,i,0,1,8,8
148.50,149.00,ii,2,2,8,10
149.00,149.50,i,0,1,8,8
149.50,150.00,ii,2,2,8,10
150.00,150.50,i,0,1,8,8
150.50,151.00,ii,2,2,8,10
151.00,151.50,i,0,1,8,8
151.50,152.00,ii,2,2,8,10
152.00,152.50,i,0,1,8,8
152.50,153.00,ii,2,2,8,10
153.00,153.50,i,0,1,8,8
153.50,154.00,ii,2,2,8,10
154.00,154.50,i,0,1,8,8
154.50,155.00,ii,2,2,8,10
155.00,155.50,i,0,1,8,8
155.50,156.00,ii,2,2,8,10
156.00,156.50,i,0,1,8,8
156.50,157.00,ii,2,2,8,10
157.00,157.50,i,0,1,8,8
157.50,158.00,ii,2,2,8,10
158.00,158.50,i,0,1,8,8
158.50,159.00,ii,2,2,8,10
159.00,159.50,i,0,1,8,8
159.50,160.00,ii,2,2,8,10
160.00,160.50,i,0,1,8,8
160.50,161.00,ii,2,2,8,10
161.00,161.50,i,0,1,8,8
161.50,162.00,ii,2,2,8,10
162.00,162.50,i,0,1,8,8
162.50,163.00,ii,2,2,8,10
163.00,163.50,i,0,1,8,8
163.50,164.00,ii,2,2,8,10
164.00,164.50,i,0,1,8,8
164.50,165.00,ii,2,2,8,10
165.00,165.50,i,0,1,8,8
165.50,166.00,ii,2,2,8,10
166.00,166.50,i,0,1,8,8
166.50,167.00,ii,2,2,8,10
167.00,167.50,i,0,1,8,8
167.50,168.00,ii,2,2,8,10
168.00,168.50,i,0,1,8,8
168.50,169.00,ii,2,2,8,10
169.00,169.50,i,0,1,8,8
169.50,170.00,ii,2,2,8,10
170.00,170.50,i,0,1,8,8
170.50,171.00,ii,2,2,8,10
171.00,171.50,i,0,1,8,8
171.50,172.00,ii,2,2,8,10
172.00,172.50,i,0,1,8,8
172.50,173.00,ii,2,2,8,10
173.00,173.50,i,0,1,8,8
173.50,174.00,ii,2,2,8,10
174.00,174.50,i,0,1,8,8
174.50,175.00,ii,2,2,8,10
175.00,175.50,I,0,1,6,6
175.50,176.00,V,7,5,6,1
176.00,176.50,bVII,10,7,6,4
176.50,177.00,bIII,3,3,6,9
177.00,177.50,bVI,8,6,6,2
177.50,178.00,bII,1,2,6,7
178.00,181.00,V,7,5,1,8
181.00,182.00,iii,4,3,1,5
182.00,183.00,v,7,5,1,8
183.00,184.00,iii,4,3,1,5
184.00,185.00,v,7,5,1,8
185.00,186.00,iii,4,3,1,5
186.00,187.00,v,7,5,1,8
187.00,188.00,iii,4,3,1,5
188.00,188.50,IV,5,4,1,6
188.50,189.00,V,7,5,1,8
189.00,190.00,I,0,1,1,1
190.00,190.50,IV,5,4,1,6
190.50,191.00,V,7,5,1,8
191.00,191.50,I,0,1,1,1
191.50,192.00,VI,9,6,1,10
192.00,192.50,IV,5,4,1,6
192.50,193.00,I,0,1,1,1
193.00,195.00,II,2,2,1,3
195.00,196.00,v,7,5,1,8
196.00,197.00,iii,4,3,1,5
197.00,198.00,v,7,5,1,8
198.00,199.00,iii,4,3,1,5
199.00,200.00,v,7,5,1,8
200.00,201.00,iii,4,3,1,5
201.00,202.00,v,7,5,1,8
202.00,203.00,iii,4,3,1,5
203.00,203.50,IV,5,4,1,6
203.50,204.00,V,7,5,1,8
204.00,205.00,I,0,1,1,1
205.00,205.50,IV,5,4,1,6
205.50,206.00,V,7,5,1,8
206.00,207.00,I,0,1,1,1
207.00,207.50,bIII,3,3,1,4
207.50,208.00,bVII,10,7,1,11
208.00,209.00,I,0,1,1,1
209.00,209.50,bIII,3,3,1,4
209.50,210.00,bVII,10,7,1,11
210.00,211.00,I,0,1,1,1
211.00,211.50,bIII,3,3,1,4
211.50,212.00,bVII,10,7,1,11
212.00,213.00,I,0,1,1,1
213.00,213.50,bIII,3,3,1,4
213.50,214.00,bVII,10,7,1,11
214.00,215.00,I,0,1,1,1
215.00,215.50,I,0,1,6,6
215.50,216.00,V,7,5,6,1
216.00,216.50,bVII,10,7,6,4
216.50,217.00,bIII,3,3,6,9
217.00,217.50,bVI,8,6,6,2
217.50,218.00,bII,1,2,6,7
218.00,220.00,V,7,5,1,8
